id,name,brewery_type,street,city,state,postal_code,website_url,phone,created_at,updated_at,country,Longitude,Latitude,tags
midnight-sun-brewing-co,Midnight Sun Brewing Co,micro,8111 Dimond Hook Dr,Anchorage,Alaska,99507-3144,http://www.midnightsunbrewing.com,9073441179,32:48.4,21:00.5,United States,-149.8445465,61.1471249,
broken-tooth-brewing-co,Broken Tooth Brewing Co,brewpub,2021 Spar Ave,Anchorage,Alaska,99501-1815,,9072784999,32:48.0,20:42.6,United States,-149.8437638,61.2225517,
resolution-brewing-company,Resolution Brewing Company,brewpub,3024 Mountain View Dr Ste 105,Anchorage,Alaska,99501-3141,http://www.resolutionbeer.com,9073304523,32:48.4,21:03.6,United States,-149.823091,61.21997889,
resolution-brewing-compnay-llc,"Resolution Brewing Compnay, LLC",micro,3024 Mountain View Drive,Anchorage,Alaska,99501,http://www.resolutionbeer.com,9077485297,32:48.4,21:04.4,United States,-149.823091,61.21997889,
last-frontier-brewing-company,Last Frontier Brewing Company,brewpub,238 N Boundary St,Wasilla,Alaska,99654-7127,,9073577200,32:48.3,20:59.7,United States,-149.4395534,61.581483,
bearpaw-river-brewing-co,Bearpaw River Brewing Co,micro,4605 E Palmer Wasilla Hwy,Wasilla,Alaska,99654-7679,http://bearpawriverbrewing.com,,32:48.0,20:40.7,United States,-149.4127103,61.5752695,
girdwood-brewing-company,Girdwood Brewing Company,micro,2700 Alyeska Highway,Girdwood,Alaska,99587-0058,http://www.girdwoodbrewing.com,907783,32:48.1,20:47.7,United States,-149.1540907,60.9578421,
hoodoo-brewing-co,HooDoo Brewing Co,micro,1951 Fox Ave,Fairbanks,Alaska,99701-2701,http://www.hoodoobrew.com,9074592337,32:48.2,20:52.4,United States,-147.7598199,64.84855501,
midnite-mine-brewpub,Midnite Mine Brewpub,planning,,Fairbanks,Alaska,99701-4838,,9073784067,32:48.4,21:00.9,United States,-147.716675,64.837845,
silver-gulch-brewing-co,Silver Gulch Brewing Co,micro,2195 Old Steese Highway,Fox,Alaska,99712,http://www.silvergulch.com,9074522739,32:48.5,21:07.0,United States,-147.6219761,64.95708588,
growler-bay-brewing-co,Growler Bay Brewing Co,planning,,Valdez,Alaska,99686-3716,,9072555191,32:48.2,20:49.9,United States,-146.3493638,61.1299396,
haines-brewing-co,Haines Brewing Co,micro,327 Main St,Haines,Alaska,99827,http://www.hainesbrewing.com,9077663823,32:48.2,20:50.8,United States,-135.4551927,59.2357624,
icy-strait-brewery,Icy Strait Brewery,micro,286 Front St,Hoonah,Alaska,99829,,9079576260,32:48.2,20:54.2,United States,-135.4464887,58.11031874,
klondike-brewing-company,Klondike Brewing Company,brewpub,365 2nd Ave,Skagway,Alaska,99840,http://www.klondikebeer.com,9079832778,32:48.3,20:58.0,United States,-135.3188721,59.45385743,
alaskan-brewing-co,Alaskan Brewing Co.,regional,5429 Shaune Dr,Juneau,Alaska,99801-9540,http://www.alaskanbeer.com,9077805866,32:47.9,20:35.8,United States,-134.4918763,58.35681231,
barnaby-brewing-company,Barnaby Brewing Company,micro,206 N Franklin St,Juneau,Alaska,99801-1225,http://www.barnabybrew.com,9074190916,32:48.0,20:39.9,United States,-134.4077265,58.30177588,
devils-club-brewing,Devil's Club Brewing,brewpub,100 N Franklin St,Juneau,Alaska,99801-1223,http://www.devilsclubbrewing.com,9077232337,32:48.1,20:45.5,United States,-134.406956,58.301309,
inside-passage-brewing-company-llc,"Inside Passage Brewing Company, LLC",planning,,Ketchikan,Alaska,99901-6502,,5133240762,32:48.3,20:54.6,United States,-131.6466819,55.3430696,
baleen-brewing-co,Baleen Brewing Co.,planning,,Ketchikan,Alaska,99901,,9072207492,32:47.9,20:38.0,United States,-131.6466819,55.3430696,
arch-rock-brewing-co,Arch Rock Brewing Co,micro,28779 Hunter Creek Loop,Gold Beach,Oregon,97444-9626,http://www.archrockbrewingcompany.com,5412470555,34:04.6,45:50.0,United States,-124.4155402,42.3898306,
bandon-brewing-company,Bandon Brewing Company,brewpub,395 2nd St SE,Bandon,Oregon,97411-9605,http://www.bandonbrewingco.com,5413473911,34:04.7,45:53.3,United States,-124.4122494,43.1191572,
chetco-brewing-company,Chetco Brewing Company,micro,830 Railroad St,Brookings,Oregon,97415,http://www.chetcobrew.com,5416615347,34:05.4,46:10.9,United States,-124.2875954,42.0521588,
7-devils-brewing-co,7 Devils Brewing Co,brewpub,247 S 2nd St,Coos Bay,Oregon,97420-1642,http://www.7devilsbrewery.com,5418083738,34:04.5,45:46.1,United States,-124.2147508,43.36654751,
seaquake-brewing,Seaquake Brewing,brewpub,400 Front St,Crescent City,California,95531-4369,http://www.seaquakebrewing.com,7074654444,33:00.6,02:16.8,United States,-124.200063,41.749045,
port-opints-brewing-co,Port O'Pints Brewing Co.,brewpub,1215 Northcrest Dr,Crescent City,California,95531-2320,http://www.portopints.com,7074601154,32:59.7,01:08.3,United States,-124.1993085,41.76863139,
the-booth-brewing-co,The Booth Brewing Co.,micro,123 W 3rd St,Eureka,California,95501-0222,http://www.theboothbrewing.com,7075725728,33:02.0,03:48.8,United States,-124.1743072,40.80226985,
lost-coast-brewery-and-cafe-table-bluff-brewing-inc,"Lost Coast Brewery and Cafe - Table Bluff Brewing, Inc.",regional,617 4th St,Eureka,California,95501-1013,http://www.lostcoast.com,7074454480,32:57.9,59:11.9,United States,-124.1648141,40.80302047,
humboldt-springs-brewing-co,Humboldt Springs Brewing Co,planning,,Eureka,California,95501,,7074993050,32:56.7,29:42.2,United States,-124.1636729,40.8020712,
eel-river-brewing-co,Eel River Brewing Co,micro,1777 Alamar Way,Fortuna,California,95540-9548,http://www.eelriverbrewing.com,7077252739,32:54.9,27:52.5,United States,-124.1524471,40.57874196,
blackbeards-brewing-company,Blackbeard's Brewing Company,brewpub,700 W Ocean Ave,Westport,Washington,98595-9603,http://www.blackbeardsbrewing.com,3602687662,34:28.4,33:02.3,United States,-124.1175413,46.8867861,
six-rivers-brewery,Six Rivers Brewery,brewpub,1300 Central Ave,McKinleyville,California,95519-6429,,,33:00.9,02:32.6,United States,-124.1003888,40.9260642,
defeat-river-brewery,Defeat River Brewery,micro,473 Fir Avenue,Reedsport,Oregon,97467,http://www.defeatriverbrewery.com,5418088862,34:05.7,01:17.2,United States,-124.0974021,43.70234471,
bier-one-brewing,Bier One Brewing,brewpub,424 SW Coast Hwy,Newport,Oregon,97365-4930,http://www.bier-one.com,5412654630,34:04.9,45:57.4,United States,-124.0572864,44.6330765,
north-jetty-brewing,North Jetty Brewing,micro,4200 Pacific Way,Seaview,Washington,98644-4212,http://www.northjettybrewing.com,3606424234,34:31.5,37:23.4,United States,-124.0545827,46.333147,
rusty-truck-brewing-company,Rusty Truck Brewing Company,brewpub,4649 SW Highway 101,Lincoln City,Oregon,97367-1557,http://www.rustytruckbrewing.com,5419947729,34:07.6,04:38.6,United States,-124.0209913,44.93273319,
mcmenamins-lighthouse-brewery,McMenamins Lighthouse Brewery,brewpub,4157 NW Highway 101 Ste 117,Lincoln City,Oregon,97367-5050,http://www.mcmenamins.com,5419949628,34:06.8,03:09.6,United States,-124.0050694,44.99673605,
mad-river-brewing-co,Mad River Brewing Co,micro,101 Taylor Way,Blue Lake,California,95525,http://www.madriverbrewing.com,7076684151,32:58.1,59:19.7,United States,-123.992063,40.878682,
pelican-brewing-company,Pelican Brewing Company,regional,33180 Cape Kiwanda Dr,Pacific City,Oregon,97135-8012,http://www.pelicanbrewery.com,5039657007,34:07.3,03:58.7,United States,-123.9695724,45.21550832,
pelican-brewing-company-cannon-beach,Pelican Brewing Company - Cannon Beach,brewpub,1371 S Hemlock St,Cannon Beach,Oregon,97110-3055,,5039083377,34:07.3,04:00.2,United States,-123.9620236,45.88850543,
bills-tavern-and-brewhouse,Bill's Tavern and Brewhouse,brewpub,188 N Hemlock St,Cannon Beach,Oregon,97110-3037,http://www.billstavernandbrewhouse.com,5034362202,34:04.9,45:58.9,United States,-123.9610943,45.89803615,
gyppo-ale-mill,Gyppo Ale Mill,micro,,Whitethorn,California,95589-0627,,7072233443,32:56.1,29:05.8,United States,-123.9430832,40.0237557,
seaside-brewery,Seaside Brewery,brewpub,851 Broadway St,Seaside,Oregon,97138-6823,http://www.seasidebrewery.com,5037175451,34:07.7,04:47.5,United States,-123.9223842,45.99299261,
hoquiam-brewing-company,Hoquiam Brewing Company,micro,526 8th St,Hoquiam,Washington,98550-3521,http://www.hoquiambrews.com,3606378252,34:30.5,35:51.6,United States,-123.8865612,46.97536712,
pelican-brewing-company-tillamook,Pelican Brewing Company - Tillamook,micro,1708 1st St,Tillamook,Oregon,97141-2104,,5039657007,34:07.3,04:01.7,United States,-123.8462991,45.45789207,
de-garde-brewing,De Garde Brewing,micro,114 Ivy Ave,Tillamook,Oregon,97141-2214,http://www.degardebrewing.com/,5038151635,34:05.7,01:12.9,United States,-123.8454035,45.45730575,
werner-brewing-company,Werner Brewing Company,micro,2807 3rd St,Tillamook,Oregon,97141,,5038126040,34:08.3,05:41.6,United States,-123.8425805,45.4563275,
wet-dog-cafe-and-brewery,Wet Dog Cafe & Brewery,brewpub,990 Astor St,Astoria,Oregon,97103-4201,http://www.wetdogcafe.com,5033256975,34:08.3,05:43.1,United States,-123.835821,46.190557,
buoy-beer-company,Buoy Beer Company,micro,1 8th St,Astoria,Oregon,97103-4506,http://www.buoybeer.com,5033254540,34:05.3,46:06.1,United States,-123.835151,46.1913235,
astoria-brewing-company,Astoria Brewing Company,micro,1196 Marine Dr,Astoria,Oregon,97103-4112,,5037413040,34:04.7,45:50.9,United States,-123.831516,46.18980259,
reach-break-brewing,Reach Break Brewing,micro,1343 Duane St,Astoria,Oregon,97103-3917,,5034680743,34:07.5,04:23.3,United States,-123.8289931,46.18836741,
fort-george-brewery,Fort George Brewery,regional,1483 Duane St,Astoria,Oregon,97103-3819,http://www.fortgeorgebrewery.com,5033257468,34:06.0,01:41.1,United States,-123.8274681,46.1883837,
steam-donkey-brewing-co,Steam Donkey Brewing Co,micro,101 E Wishkah St,Aberdeen,Washington,98520-6503,http://Steamdonkeybrewing.com,3606379431,34:33.0,39:40.2,United States,-123.81773,46.974242,
hondos-brew-and-cork-pub,Hondo's Brew and Cork Pub,micro,2703 Marine Dr,Astoria,Oregon,97103-2900,http://www.hondosbrew.net,5033252234,34:06.2,02:11.9,United States,-123.8140426,46.18885817,
north-coast-brewing-co-inc,North Coast Brewing Co Inc.,regional,455 N Main St,Fort Bragg,California,95437-3215,http://www.northcoastbrewing.com,7079642739,32:58.8,00:06.9,United States,-123.8057604,39.44618406,
siuslaw-brewing,Siuslaw Brewing,micro,16558 Alsea Hwy,Alsea,Oregon,97324-9624,,5417401606,34:07.8,04:56.5,United States,-123.6906645,44.353359,
wild-river-brewing-and-pizza-co,Wild River Brewing and Pizza Co,brewpub,249 N Redwood Hwy,Cave Junction,Oregon,97523-9023,http://www.wildriverbrewing.com,5414717487,34:08.4,05:47.5,United States,-123.6469844,42.1622503,
barhop-brewing,Barhop Brewing,brewpub,124 W Railroad Ave,Port Angeles,Washington,98362-2621,http://www.barhopbrewing.com,3604605155,34:28.1,32:37.2,United States,-123.4332787,48.12098065,
dungeness-brewing-company,Dungeness Brewing Company,micro,4017 S Mount Angeles Rd,Port Angeles,Washington,98362-8966,http://www.dungenessbrewing.com,3607751877,34:29.3,34:08.1,United States,-123.418449,48.087279,
river-mile-38-brewing-co,River Mile 38 Brewing Co,micro,285 3rd St,Cathlamet,Washington,98612-9561,http://www.rivermile38.com,3603554662,34:32.5,38:43.0,United States,-123.3853742,46.2054338,
bierly-brewing-eats-and-treats,Bierly Brewing @ Eats and Treats,brewpub,1644 Main St,Philomath,Oregon,97370-9237,,5412575126,34:04.9,45:58.0,United States,-123.3625416,44.539936,
mcmenamins-roseburg-station-brewery,McMenamins Roseburg Station Brewery,micro,700 SE Sheridan St,Roseburg,Oregon,97470-3470,http://www.mcmenamins.com,5416721934,34:06.9,03:18.6,United States,-123.349051,43.208554,
draper-brewing,Draper Brewing,micro,640 SE Jackson St,Roseburg,Oregon,97470,http://www.draperbrewing.com,5415805585,34:05.8,01:26.2,United States,-123.3445979,43.2084738,
jds-sports-pub-and-brewery,JD's Sports Pub and Brewery,brewpub,690 Redwood Hwy,Grants Pass,Oregon,97527-5582,http://www.jdssportsbarandbrewery.com,5414710383,34:06.3,02:19.4,United States,-123.3420515,42.42319062,
backside-brewing-co,Backside Brewing Co,brewpub,1640 NE Odell Ave,Roseburg,Oregon,97470-3320,http://www.backsidebrewingco.com,5415801906,34:04.7,45:51.9,United States,-123.3377881,43.21449839,
climate-city-brewing-co,Climate City Brewing Co.,brewpub,509 SW G St,Grants Pass,Oregon,97526-2472,http://www.climatecitybrewing.com,5414793725,34:05.4,46:11.8,United States,-123.3313287,42.4401171,
conner-fields-brewing,Conner Fields Brewing,brewpub,121 SW H St,Grants Pass,Oregon,97526-2505,http://www.connerfields.com,5415082337,34:05.5,46:14.5,United States,-123.3284921,42.43842401,
wild-river-brewing-and-pizza-co-grants-pass,Wild River Brewing and Pizza Co - Grants Pass,brewpub,595 NE E St,Grants Pass,Oregon,97526-2356,http://www.wildriverbrewing.com,5414717487,34:08.4,05:49.0,United States,-123.319,42.43927512,
block-15-brewery-and-tap-room,Block 15 Brewery & Tap Room,brewpub,3415 SW Deschutes St,Corvallis,Oregon,97333-9283,http://www.block15.com,5417522337,34:04.9,46:00.3,United States,-123.269049,44.5305284,
block-15,Block 15,brewpub,300 SW Jefferson Ave,Corvallis,Oregon,97333-4607,,5417582077,34:04.9,45:59.9,United States,-123.262222,44.5622701,
oregon-trail-brewery,Oregon Trail Brewery,micro,341 SW 2nd St,Corvallis,Oregon,97333-4640,http://www.oregontrailbrewery.com,5417583527,34:07.2,03:55.7,United States,-123.2608445,44.5612822,
flat-tail-brewing-co,Flat Tail Brewing Co,brewpub,202 SW 1st St,Corvallis,Oregon,97333-4727,http://www.flattailcorvallis.com,5417582229,34:05.9,01:38.2,United States,-123.2598775,44.56196237,
sky-high-brewing,Sky High Brewing,brewpub,160 NW Jackson Ave,Corvallis,Oregon,97330-4827,http://www.skyhighbrewing.com,5412073277,34:07.8,04:58.0,United States,-123.2590342,44.5648291,
ukiah-brewing-co,Ukiah Brewing Co,brewpub,102 S State St,Ukiah,California,95482-4903,http://www.ukiahbrewingco.com,7074685898,33:02.7,04:35.4,United States,-123.2076383,39.14945851,
rocland-beverage-co,Rocland Beverage Co,contract,1601 Airport Rd,Ukiah,California,95482-6456,http://www.asskisserales.com,7076577721,33:00.2,01:41.8,United States,-123.199573,39.126287,
allegory-brewing,Allegory Brewing,micro,777 NE 4th St,McMinnville,Oregon,97128-4502,http://www.allegorybrewing.com,9713731253,34:04.6,45:48.6,United States,-123.1917806,45.21081917,
golden-valley-brewery-and-pub,Golden Valley Brewery and Pub,brewpub,980 NE 4th St,McMinnville,Oregon,97128-4308,,,34:06.1,01:56.2,United States,-123.1894925,45.21065713,
heater-allen-brewery,Heater Allen Brewery,micro,907 NE 10th Ave,McMinnville,Oregon,97128-4003,http://www.heaterallen.com,5034724898,34:06.2,02:08.5,United States,-123.1879728,45.21407234,
evasion-brewing-production-facility,Evasion Brewing - Production Facility,micro,4230 NE Riverside Dr,McMinnville,Oregon,97128-8403,http://www.evasionbrewing.com,5038355322,34:05.8,01:30.7,United States,-123.1519619,45.22899995,
oakshire-brewing,Oakshire Brewing,micro,1055 Madera St,Eugene,Oregon,97402-2019,http://www.oakbrew.com,5416884555,34:07.1,03:42.3,United States,-123.1410241,44.07299355,
hare-in-the-forest,Hare In the Forest,micro,9311 Gibson Ln,Potter Valley,California,95469-8799,http://www.hareintheforest.com,9105457759,32:56.3,29:13.2,United States,-123.1252703,39.33623934,
waltz-brewing,Waltz Brewing,micro,1900 A St,Forest Grove,Oregon,97116-2303,http://www.waltzbrewing.com,5038966057,34:08.3,05:38.6,United States,-123.1142562,45.5185238,
ridgewalker-brewing,Ridgewalker Brewing,brewpub,1921 21st Ave,Forest Grove,Oregon,97116-1637,,5038671634,34:07.5,04:24.8,United States,-123.1129966,45.52115845,
ninkasi-brewing-co,Ninkasi Brewing Co,regional,155 Blair Blvd,Eugene,Oregon,97402-4146,http://www.ninkasibrewing.com,5413442739,34:07.1,03:40.9,United States,-123.1108891,44.05734326,
hop-valley-brewing-co,Hop Valley Brewing Co,large,990 W 1st Ave,Eugene,Oregon,97402-4904,,,34:06.3,02:13.4,United States,-123.1074506,44.05820645,
kaiser-brewing-company-llc,"Kaiser Brewing Company, LLC",micro,1607 Hawthorne St,Forest Grove,Oregon,97116-2537,http://www.kaiserbrewingco.com,5034129628,34:06.3,02:20.9,United States,-123.0990254,45.51421585,
manifest-beer-company,Manifest Beer Company,micro,740 Willamette St,Eugene,Oregon,97401-2934,http://www.manifestbeer.com,5412067232,34:06.6,02:46.6,United States,-123.0928507,44.05174833,
mckenzie-brewing-company,McKenzie Brewing Company,brewpub,199 E 5th Ave,Eugene,Oregon,97401-8715,http://www.steelheadbrewery.com,5416862739,34:06.6,02:51.7,United States,-123.089843,44.054404,
mcmenamins-high-street-brewery,McMenamins High Street Brewery,brewpub,1243 High St,Eugene,Oregon,97401-3207,http://www.mcmenamins.com,5413454913,34:06.7,03:03.5,United States,-123.0879134,44.0461346,
coldfire-brewing,Coldfire Brewing,micro,263 Mill St,Eugene,Oregon,97401-2410,http://www.coldfirebrewing.com,5415569374,34:05.5,46:13.2,United States,-123.0864976,44.05674657,
sam-bonds-brewing-co,Sam Bond's Brewing Co,brewpub,540 E 8th Ave,Eugene,Oregon,97401-3344,http://www.sambondsbrewing.com,5412468162,34:07.7,04:41.6,United States,-123.0843307,44.05093611,
mcmenamins-thompson-brewery,McMenamins Thompson Brewery,micro,3575 Liberty Rd S,Salem,Oregon,97302-5621,http://www.mcmenamins.com,5033712945,34:06.9,03:20.1,United States,-123.051309,44.904043,
hop-valley-brewing-co,Hop Valley Brewing Co,large,980 Kruse Way,Springfield,Oregon,97477-1073,http://www.hopvalleybrewing.com,5417443330,34:06.3,02:14.8,United States,-123.0399796,44.08270624,
ram-restaurant-and-brewery-salem,RAM Restaurant and Brewery - Salem,brewpub,515 12th St SE,Salem,Oregon,97301-4034,http://www.theram.com,5033631904,34:07.4,04:20.3,United States,-123.0292121,44.932777,
friday-harbor-brewing,Friday Harbor Brewing,micro,665B Mullis St,Friday Harbor,Washington,98250-7902,http://www.fridayharborbrewhouse.com,3603786205,34:29.9,35:06.9,United States,-123.0223327,48.53026803,
plank-town-brewing,Plank Town Brewing,micro,346 Main St,Springfield,Oregon,97477-5362,http://planktownbrewing.com,4582017039,34:07.3,04:06.5,United States,-123.0214468,44.04627308,
santiam-brewing-co,Santiam Brewing Co,micro,2544 19th St SE,Salem,Oregon,97302-1501,http://www.santiambrewing.com,5035075257,34:07.7,04:43.1,United States,-123.0209084,44.91644665,
gilgamesh-brewing-co,Gilgamesh Brewing Co,micro,2065 Madrona Ave SE,Salem,Oregon,97302-1010,http://gilgameshbrewing.com,9702014409,34:06.1,01:54.7,United States,-123.0191178,44.90504576,
ratchet-brewery,Ratchet Brewery,brewpub,2701 22nd St SE,Salem,Oregon,97302-1553,,5035809864,34:07.5,04:21.9,United States,-123.0173762,44.91418158,
cloverdale-ale-companys-ruth-mcgowans-brewpub,Cloverdale Ale Company's Ruth McGowan's Brewpub,brewpub,131 E 1st St,Cloverdale,California,95425-3701,http://www.ruthmcgowansbrewpub.com,7078949610,32:53.9,26:51.3,United States,-123.0165729,38.80532322,
san-juan-island-brewing-company,San Juan Island Brewing Company,brewpub,410 A St,Friday Harbor,Washington,98250,http://www.sanjuanbrew.com,3603782017,34:32.6,39:02.7,United States,-123.0150233,48.53276541,
bine-valley-brewing,Bine Valley Brewing,micro,2027 25th St SE,Salem,Oregon,97302-1130,http://www.binebrews.com,7602249889,34:04.9,45:59.4,United States,-123.0104248,44.92083964,
salem-ale-works,Salem Ale Works,micro,2315 25th St SE,Salem,Oregon,97302-1145,http://www.aleinsalem.com,5039908486,34:07.7,04:40.1,United States,-123.0103968,44.91998888,
dicks-brewing-co,Dicks Brewing Co,micro,3516 Galvin Rd,Centralia,Washington,98531-9002,http://www.dicksbeer.com,3607367760,34:29.1,33:49.9,United States,-122.9999693,46.73549248,
stumptown-brewery,Stumptown Brewery,brewpub,15045 River Rd,Guerneville,California,95446-8043,,7078690705,33:01.6,03:21.6,United States,-122.9838017,38.51320677,
mcmenamins-olympic-club-brewery,McMenamins Olympic Club Brewery,brewpub,112 N Tower Ave,Centralia,Washington,98531-4220,http://www.mcmenamins.com,3607365164,34:31.1,36:44.0,United States,-122.9539398,46.7167828,
hoh-river-brewery,Hoh River Brewery,micro,2442 Mottman Rd SW,Tumwater,Washington,98512-6219,http://www.hohriverbrewery.com,3607054000,34:30.4,35:44.0,United States,-122.9356218,47.02543196,
ashtown-brewing-co,Ashtown Brewing Co,micro,1175 Hudson St,Longview,Washington,98632-3158,http://www.ashtownbrewing.com,3603535286,34:27.9,32:17.8,United States,-122.9327409,46.13661987,
five-dons-brewing-co,Five Dons Brewing Co,micro,1158 11th Ave,Longview,Washington,98632-3110,http://www.fivedonsbeer.com,3604306440,34:29.7,34:43.4,United States,-122.9326287,46.13418506,
wolves-and-people-farmhouse-brewery,Wolves & People Farmhouse Brewery,micro,30203 NE Benjamin Rd,Newberg,Oregon,97132-6910,http://www.wolvesandpeople.com,5034876873,34:08.5,05:53.3,United States,-122.9288409,45.31485946,
omeara-bros-brewing-company,O'Meara Bros. Brewing Company,brewpub,901 Bevins St,Lakeport,California,95453-8778,http://www.omearabros.com,7072621234,32:59.1,00:32.8,United States,-122.9245547,39.04005267,
island-hoppin-brewery,Island Hoppin' Brewery,micro,33 Hope Ln,Eastsound,Washington,98245-8915,http://www.islandhoppinbrewery.com,3603769253,34:30.6,36:02.0,United States,-122.9152526,48.70268053,
deep-space-brewing-/-out-of-this-world-pizza,Deep Space Brewing / Out of This World Pizza,brewpub,6255 NE Century Blvd,Hillsboro,Oregon,97124-8621,,5036298700,34:05.7,01:15.7,United States,-122.912049,45.564963,
barsideous-brewing-co,Barsideous Brewing Co,brewpub,644 S Main St,Lebanon,Oregon,97355-3337,http://www.barsideousbrewing.com,5415701789,34:04.8,45:54.7,United States,-122.9070824,44.5247777,
conversion-brewing,Conversion Brewing,brewpub,833 S Main St,Lebanon,Oregon,97355-3211,http://www.conversionbrewingcompany.com,5412592337,34:05.5,46:15.0,United States,-122.9070824,44.5247777,
mcmenamins-spar-cafe-brewery,McMenamins Spar Cafe Brewery,brewpub,114 4th Ave E,Olympia,Washington,98501-1103,,3603576444,34:31.2,36:48.6,United States,-122.9013768,47.04499974,
mcmenamins-cornelius-pass-roadhouse,McMenamins Cornelius Pass Roadhouse,brewpub,4045 NE Cornelius Pass Rd,Hillsboro,Oregon,97124-9367,http://www.mcmenamins.com,5036406174,34:06.7,02:57.6,United States,-122.9009845,45.5490862,
